core,preset,section,type,f0_hz,gain_db,q_or_bw,b0,b1,b2,a1,a2,pole_radius_1,pole_radius_2,pass
legacy,flat,0,legacy_bandpass,31.25,0,3,0.000654067961,0,-0.000654067961,-1.99867654,0.998691916,0.99934572,0.99934572,PASS
legacy,flat,1,legacy_bandpass,62.5,0,3,0.00130726572,0,-0.00130726572,-1.99732387,0.997385502,0.998691916,0.998691916,PASS
legacy,flat,2,legacy_bandpass,125,0,3,0.00261099776,0,-0.00261099776,-1.99453211,0.994778097,0.997385621,0.997385621,PASS
legacy,flat,3,legacy_bandpass,250,0,3,0.00520743709,0,-0.00520743709,-1.98860335,0.989585102,0.994778931,0.994778931,PASS
legacy,flat,4,legacy_bandpass,500,0,3,0.0103533389,0,-0.0103533389,-1.97539043,0.979293346,0.989592493,0.989592493,PASS
legacy,flat,5,legacy_bandpass,1000,0,3,0.0204352811,0,-0.0204352811,-1.94372141,0.959129393,0.979351521,0.979351521,PASS
legacy,flat,6,legacy_bandpass,2000,0,3,0.0396035984,0,-0.0396035984,-1.86107194,0.920792818,0.959579527,0.959579527,PASS
legacy,flat,7,legacy_bandpass,4000,0,3,0.07304281,0,-0.07304281,-1.63362265,0.85391444,0.924074888,0.924074888,PASS
legacy,flat,8,legacy_bandpass,8000,0,3,0.117976367,0,-0.117976367,-1.05243075,0.764047265,0.874097943,0.874097943,PASS
legacy,flat,9,legacy_bandpass,16000,0,3,0.142855436,0,-0.142855436,0.00907814689,0.714289129,0.845156252,0.845156252,PASS
legacy,bass,0,legacy_bandpass,31.25,6,3,0.000654067961,0,-0.000654067961,-1.99867654,0.998691916,0.99934572,0.99934572,PASS
legacy,bass,1,legacy_bandpass,62.5,6,3,0.00130726572,0,-0.00130726572,-1.99732387,0.997385502,0.998691916,0.998691916,PASS
legacy,bass,2,legacy_bandpass,125,5,3,0.00261099776,0,-0.00261099776,-1.99453211,0.994778097,0.997385621,0.997385621,PASS
legacy,bass,3,legacy_bandpass,250,3,3,0.00520743709,0,-0.00520743709,-1.98860335,0.989585102,0.994778931,0.994778931,PASS
legacy,bass,4,legacy_bandpass,500,1,3,0.0103533389,0,-0.0103533389,-1.97539043,0.979293346,0.989592493,0.989592493,PASS
legacy,bass,5,legacy_bandpass,1000,0,3,0.0204352811,0,-0.0204352811,-1.94372141,0.959129393,0.979351521,0.979351521,PASS
legacy,bass,6,legacy_bandpass,2000,0,3,0.0396035984,0,-0.0396035984,-1.86107194,0.920792818,0.959579527,0.959579527,PASS
legacy,bass,7,legacy_bandpass,4000,1,3,0.07304281,0,-0.07304281,-1.63362265,0.85391444,0.924074888,0.924074888,PASS
legacy,bass,8,legacy_bandpass,8000,2,3,0.117976367,0,-0.117976367,-1.05243075,0.764047265,0.874097943,0.874097943,PASS
legacy,bass,9,legacy_bandpass,16000,2,3,0.142855436,0,-0.142855436,0.00907814689,0.714289129,0.845156252,0.845156252,PASS
legacy,vocal,0,legacy_bandpass,31.25,-4,3,0.000654067961,0,-0.000654067961,-1.99867654,0.998691916,0.99934572,0.99934572,PASS
legacy,vocal,1,legacy_bandpass,62.5,-3,3,0.00130726572,0,-0.00130726572,-1.99732387,0.997385502,0.998691916,0.998691916,PASS
legacy,vocal,2,legacy_bandpass,125,-2,3,0.00261099776,0,-0.00261099776,-1.99453211,0.994778097,0.997385621,0.997385621,PASS
legacy,vocal,3,legacy_bandpass,250,2,3,0.00520743709,0,-0.00520743709,-1.98860335,0.989585102,0.994778931,0.994778931,PASS
legacy,vocal,4,legacy_bandpass,500,4,3,0.0103533389,0,-0.0103533389,-1.97539043,0.979293346,0.989592493,0.989592493,PASS
legacy,vocal,5,legacy_bandpass,1000,4,3,0.0204352811,0,-0.0204352811,-1.94372141,0.959129393,0.979351521,0.979351521,PASS
legacy,vocal,6,legacy_bandpass,2000,3,3,0.0396035984,0,-0.0396035984,-1.86107194,0.920792818,0.959579527,0.959579527,PASS
legacy,vocal,7,legacy_bandpass,4000,2,3,0.07304281,0,-0.07304281,-1.63362265,0.85391444,0.924074888,0.924074888,PASS
legacy,vocal,8,legacy_bandpass,8000,-1,3,0.117976367,0,-0.117976367,-1.05243075,0.764047265,0.874097943,0.874097943,PASS
legacy,vocal,9,legacy_bandpass,16000,-3,3,0.142855436,0,-0.142855436,0.00907814689,0.714289129,0.845156252,0.845156252,PASS
legacy,treble,0,legacy_bandpass,31.25,-3,3,0.000654067961,0,-0.000654067961,-1.99867654,0.998691916,0.99934572,0.99934572,PASS
legacy,treble,1,legacy_bandpass,62.5,-3,3,0.00130726572,0,-0.00130726572,-1.99732387,0.997385502,0.998691916,0.998691916,PASS
legacy,treble,2,legacy_bandpass,125,-2,3,0.00261099776,0,-0.00261099776,-1.99453211,0.994778097,0.997385621,0.997385621,PASS
legacy,treble,3,legacy_bandpass,250,-1,3,0.00520743709,0,-0.00520743709,-1.98860335,0.989585102,0.994778931,0.994778931,PASS
legacy,treble,4,legacy_bandpass,500,0,3,0.0103533389,0,-0.0103533389,-1.97539043,0.979293346,0.989592493,0.989592493,PASS
legacy,treble,5,legacy_bandpass,1000,0,3,0.0204352811,0,-0.0204352811,-1.94372141,0.959129393,0.979351521,0.979351521,PASS
legacy,treble,6,legacy_bandpass,2000,2,3,0.0396035984,0,-0.0396035984,-1.86107194,0.920792818,0.959579527,0.959579527,PASS
legacy,treble,7,legacy_bandpass,4000,4,3,0.07304281,0,-0.07304281,-1.63362265,0.85391444,0.924074888,0.924074888,PASS
legacy,treble,8,legacy_bandpass,8000,6,3,0.117976367,0,-0.117976367,-1.05243075,0.764047265,0.874097943,0.874097943,PASS
legacy,treble,9,legacy_bandpass,16000,6,3,0.142855436,0,-0.142855436,0.00907814689,0.714289129,0.845156252,0.845156252,PASS
legacy,v_shape,0,legacy_bandpass,31.25,5,3,0.000654067961,0,-0.000654067961,-1.99867654,0.998691916,0.99934572,0.99934572,PASS
legacy,v_shape,1,legacy_bandpass,62.5,5,3,0.00130726572,0,-0.00130726572,-1.99732387,0.997385502,0.998691916,0.998691916,PASS
legacy,v_shape,2,legacy_bandpass,125,3,3,0.00261099776,0,-0.00261099776,-1.99453211,0.994778097,0.997385621,0.997385621,PASS
legacy,v_shape,3,legacy_bandpass,250,0,3,0.00520743709,0,-0.00520743709,-1.98860335,0.989585102,0.994778931,0.994778931,PASS
legacy,v_shape,4,legacy_bandpass,500,-3,3,0.0103533389,0,-0.0103533389,-1.97539043,0.979293346,0.989592493,0.989592493,PASS
legacy,v_shape,5,legacy_bandpass,1000,-3,3,0.0204352811,0,-0.0204352811,-1.94372141,0.959129393,0.979351521,0.979351521,PASS
legacy,v_shape,6,legacy_bandpass,2000,-1,3,0.0396035984,0,-0.0396035984,-1.86107194,0.920792818,0.959579527,0.959579527,PASS
legacy,v_shape,7,legacy_bandpass,4000,2,3,0.07304281,0,-0.07304281,-1.63362265,0.85391444,0.924074888,0.924074888,PASS
legacy,v_shape,8,legacy_bandpass,8000,5,3,0.117976367,0,-0.117976367,-1.05243075,0.764047265,0.874097943,0.874097943,PASS
legacy,v_shape,9,legacy_bandpass,16000,6,3,0.142855436,0,-0.142855436,0.00907814689,0.714289129,0.845156252,0.845156252,PASS
rbj_cascade,flat,0,low_shelf,31.25,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,flat,1,peaking,62.5,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,flat,2,peaking,125,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,flat,3,peaking,250,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,flat,4,peaking,500,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,flat,5,peaking,1000,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,flat,6,peaking,2000,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,flat,7,peaking,4000,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,flat,8,peaking,8000,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,flat,9,high_shelf,16000,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,bass,0,low_shelf,31.25,3,1,1.00048029,-1.99490321,0.994441271,-1.99490583,0.994918823,0.997456193,0.997456193,PASS
rbj_cascade,bass,1,peaking,62.5,3,1,1.00096154,-1.99527669,0.994376481,-1.99527669,0.995338142,0.997666359,0.997666359,PASS
rbj_cascade,bass,2,peaking,125,2,1,1.0012753,-1.98990381,0.988874137,-1.98990381,0.990149379,0.99506247,0.99506247,PASS
rbj_cascade,bass,3,peaking,250,1,1,1.00126624,-1.97826898,0.977979481,-1.97826898,0.979245663,0.989568412,0.989568412,PASS
rbj_cascade,bass,4,peaking,500,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,bass,5,peaking,1000,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,bass,6,peaking,2000,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,bass,7,peaking,4000,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,bass,8,peaking,8000,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,bass,9,high_shelf,16000,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,vocal,0,low_shelf,31.25,-2,1,0.999680042,-1.99411905,0.994452596,-1.99411726,0.994134545,0.997062981,0.997062981,PASS
rbj_cascade,vocal,1,peaking,62.5,-1,1,0.999680996,-1.99407303,0.99445349,-1.99407303,0.994134545,0.997062981,0.997062981,PASS
rbj_cascade,vocal,2,peaking,125,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,vocal,3,peaking,250,1,1,1.00126624,-1.97826898,0.977979481,-1.97826898,0.979245663,0.989568412,0.989568412,PASS
rbj_cascade,vocal,4,peaking,500,2,1,1.00502694,-1.95730066,0.956143558,-1.95730066,0.961170554,0.980393052,0.980393052,PASS
rbj_cascade,vocal,5,peaking,1000,3,1,1.01486731,-1.9127202,0.913055062,-1.9127202,0.927922428,0.963287294,0.963287294,PASS
rbj_cascade,vocal,6,peaking,2000,2,1,1.01900816,-1.79495549,0.834168315,-1.79495549,0.853176475,0.923675537,0.923675537,PASS
rbj_cascade,vocal,7,peaking,4000,1,1,1.01755691,-1.50043571,0.694669902,-1.50043571,0.712226689,0.843935251,0.843935251,PASS
rbj_cascade,vocal,8,peaking,8000,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,vocal,9,high_shelf,16000,-1,1,0.958276153,0.527411461,0.216223076,0.487933069,0.213977501,0.462577015,0.462577015,PASS
rbj_cascade,treble,0,low_shelf,31.25,-1,1,0.9998402,-1.99428523,0.99445951,-1.99428439,0.994300544,0.997146189,0.997146189,PASS
rbj_cascade,treble,1,peaking,62.5,-1,1,0.999680996,-1.99407303,0.99445349,-1.99407303,0.994134545,0.997062981,0.997062981,PASS
rbj_cascade,treble,2,peaking,125,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,treble,3,peaking,250,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,treble,4,peaking,500,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,treble,5,peaking,1000,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,treble,6,peaking,2000,1,1,1.00944722,-1.78718138,0.835702896,-1.78718138,0.845150232,0.919320524,0.919320524,PASS
rbj_cascade,treble,7,peaking,4000,2,1,1.03545713,-1.51261044,0.690662742,-1.51261044,0.726119995,0.852126777,0.852126777,PASS
rbj_cascade,treble,8,peaking,8000,3,1,1.09557748,-0.823370516,0.441058218,-0.823370516,0.536635756,0.732554257,0.732554257,PASS
rbj_cascade,treble,9,high_shelf,16000,3,1,1.13643062,0.48225224,0.231363446,0.611565292,0.238480881,0.488345057,0.488345057,PASS
rbj_cascade,v_shape,0,low_shelf,31.25,2,1,1.00031984,-1.99475527,0.994452477,-1.99475694,0.994770706,0.997381926,0.997381926,PASS
rbj_cascade,v_shape,1,peaking,62.5,2,1,1.00063932,-1.9950012,0.994423389,-1.9950012,0.99506259,0.997528255,0.997528255,PASS
rbj_cascade,v_shape,2,peaking,125,1,1,1.00063646,-1.98932338,0.988932431,-1.98932338,0.98956883,0.994770765,0.994770765,PASS
rbj_cascade,v_shape,3,peaking,250,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,v_shape,4,peaking,500,-1,1,0.997499764,-1.95016348,0.956519544,-1.95016348,0.954019368,0.976739168,0.976739168,PASS
rbj_cascade,v_shape,5,peaking,1000,-1,1,0.995111704,-1.89503706,0.914987028,-1.89503706,0.910098672,0.953990936,0.953990936,PASS
rbj_cascade,v_shape,6,peaking,2000,0,1,1,0,0,0,0,0,-0,PASS
rbj_cascade,v_shape,7,peaking,4000,1,1,1.01755691,-1.50043571,0.694669902,-1.50043571,0.712226689,0.843935251,0.843935251,PASS
rbj_cascade,v_shape,8,peaking,8000,2,1,1.06268239,-0.812220395,0.453144073,-0.812220395,0.515826464,0.718210578,0.718210578,PASS
rbj_cascade,v_shape,9,high_shelf,16000,2,1,1.08898628,0.496881545,0.227182955,0.581133723,0.231916949,0.481577575,0.481577575,PASS
